user_input,reference_contexts,reference,synthesizer_name
Google 피트니스 심박수 데이터 읽기 권한 범위는?,['Q: Google 피트니스에서 심박수 데이터를 확인하기 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: Google 피트니스에서 내 심박수 데이터를 확인하기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/fitness.heart_rate.read 입니다.'],Google 피트니스에서 심박수 데이터를 확인하기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/fitness.heart_rate.read 입니다.,single_hop_specific_query_synthesizer
projets.databeses.gte 메서드 쓸때 HTTP 리퀘스트 포맷이 뭐에요?,['Q: projects.databases.get 메서드를 호출할 때 필요한 HTTP 요청 형식은 무엇인가요?\nA: HTTP 요청 형식은 다음과 같습니다:\n```\nGET https://firestore.googleapis.com/v1/{name=projects/*/databases/*}\n```'],"HTTP 요청 형식은 다음과 같습니다:
```
GET https://firestore.googleapis.com/v1/{name=projects/*/databases/*}
```",single_hop_specific_query_synthesizer
"Google Developers Console을 활용하여 YouTube Data API를 사용 설정하려면 어떤 절차를 따라야 하며, 첫 번째 단계에서 반드시 수행해야 하는 작업은 무엇입니까?",['Q: YouTube Data API를 사용 설정하기 위한 첫 번째 단계는 무엇인가요?\nA: Google Developers Console에서 프로젝트를 만들거나 선택하고 API를 자동으로 사용 설정하는 마법사를 사용합니다. 계속을 클릭한 다음 사용자 인증 정보로 이동을 클릭합니다.'],"YouTube Data API를 사용 설정하기 위한 첫 번째 단계는 Google Developers Console에서 프로젝트를 만들거나 선택하고, API를 자동으로 사용 설정하는 마법사를 사용하는 것입니다. 이후 계속을 클릭한 다음 사용자 인증 정보로 이동을 클릭해야 합니다.",single_hop_specific_query_synthesizer
firsetore users 데이타 가져오려면 어떻게하나요? users 콜렉션에서 모든 users 정보 뽑는 코드 알려주세요.,"['Q: Firestore에서 데이터를 가져오는 방법은 무엇인가요?\nA: Firestore에서 데이터를 가져오는 방법은 다음과 같은 코드를 사용할 수 있습니다:\n\n```javascript\nawait db.collection(""users"").get().then((event) => {\n    for (var doc in event.docs) {\n        print(""${doc.id} => ${doc.data()}"");\n    }\n});\n```']","Firestore에서 users 콜렉션의 모든 users 정보를 가져오려면 다음과 같은 코드를 사용할 수 있습니다:

```javascript
await db.collection(""users"").get().then((event) => {
    for (var doc in event.docs) {
        print(""${doc.id} => ${doc.data()}"");
    }
});
```",single_hop_specific_query_synthesizer
Python에서 Cloud Firestore 초기화 방법,"[""Q: Cloud Firestore를 Python에서 서비스 계정을 사용하여 초기화하는 방법은 무엇인가요?\nA: Cloud Firestore를 Python에서 서비스 계정을 사용하여 초기화하려면 다음 코드를 사용합니다:\n\n```python\nimport firebase_admin\nfrom firebase_admin import credentials\nfrom firebase_admin import firestore\n\n# Use a service account.\ncred = credentials.Certificate('path/to/serviceAccount.json')\n\napp = firebase_admin.initialize_app(cred)\ndb = firestore.client()\n```""]","Cloud Firestore를 Python에서 서비스 계정을 사용하여 초기화하려면 다음 코드를 사용합니다:

import firebase_admin
from firebase_admin import credentials
from firebase_admin import firestore

# Use a service account.
cred = credentials.Certificate('path/to/serviceAccount.json')

app = firebase_admin.initialize_app(cred)
db = firestore.client()",single_hop_specific_query_synthesizer
"BigQuery에서 쿼리 실행 단계의 병렬 입력 세그먼트 수를 확인하고자 할 때, 사용자가 참고해야 하는 필드는 무엇이며, 이 필드를 통해 어떤 정보를 얻을 수 있는지 상세히 설명해 주시겠습니까?","[""Q: BigQuery에서 쿼리 실행 단계의 병렬 입력 세그먼트 수를 확인하려면 어떤 필드를 사용해야 하나요?\nA: 쿼리 실행 단계의 병렬 입력 세그먼트 수는 'parallelInputs' 필드를 사용하여 확인할 수 있습니다.""]","BigQuery에서 쿼리 실행 단계의 병렬 입력 세그먼트 수를 확인하려면 'parallelInputs' 필드를 사용해야 합니다. 이 필드는 쿼리 실행 단계에서 병렬로 처리되는 입력 세그먼트의 수를 나타내며, 사용자는 이를 통해 쿼리 실행의 병렬 처리 수준을 파악할 수 있습니다.",single_hop_specific_query_synthesizer
itemDownlodRestrction 뭐에요?,"[""Q: 파일의 다운로드 제한이 소유자 또는 주최자가 직접 적용한 것인지 확인하려면 어떤 필드를 사용해야 하나요?\nA: 파일의 다운로드 제한이 소유자 또는 주최자가 직접 적용한 것인지 확인하려면 'itemDownloadRestriction' 필드를 사용해야 합니다. 이 필드는 소유자 또는 주최자가 직접 적용한 파일의 다운로드 제한을 포함합니다.""]",itemDownloadRestriction 필드는 소유자 또는 주최자가 직접 적용한 파일의 다운로드 제한을 확인할 때 사용합니다.,single_hop_specific_query_synthesizer
What does the textFormat field represent in TreemapChartSpec's JSON?,['Q: TreemapChartSpec의 JSON 표현에서 textFormat 필드는 어떤 정보를 포함하나요?\nA: textFormat 필드는 차트의 모든 라벨에 사용할 텍스트 형식입니다. 링크 필드는 지원되지 않습니다.'],The textFormat field specifies the text format to be used for all labels in the chart. Link fields are not supported.,single_hop_specific_query_synthesizer
fileId는 무엇을 의미하나요?,"['Q: AccessProposal을 ID로 검색하는 API 요청은 어떻게 하나요?\nA: AccessProposal을 ID로 검색하려면 다음과 같은 GET 요청을 사용합니다:\n\n```\nGET /drive/v3/files/{fileId}/accessproposals/{proposalId}\n```\n여기서 `{fileId}`는 파일의 ID이고, `{proposalId}`는 검색할 AccessProposal의 ID입니다.']",fileId는 파일의 ID를 의미합니다.,single_hop_specific_query_synthesizer
"Gmail 작업을 선언하는 방법에 대해 자세히 알고 싶은데, Declaring Actions 관련 자료는 어디서 찿을수 있나요?",['Q: Gmail의 작업 선언 방법에 대한 자료는 어디에서 찾을 수 있나요?\nA: 작업 선언 방법에 대한 자세한 내용은 작업 선언(Declaring Actions) 문서를 참고하세요.'],작업 선언 방법에 대한 자세한 내용은 작업 선언(Declaring Actions) 문서를 참고하세요.,single_hop_specific_query_synthesizer
